X--Trace 1::[V(1) | V(PR1)],Y--Trace 1::[V(1) | V(PR1)]
-20,0.439558
-19,0.460001
-18,0.481087
-17,0.502813
-16,0.525172
-15,0.548161
-14,0.571769
-13,0.595987
-12,0.620804
-11,0.646205
-10,0.672176
-9,0.698698
-8,0.725755
-7,0.753324
-6,0.781385
-5,0.809916
-4,0.838891
-3,0.868286
-2,0.898075
-1,0.928231
0,0.958726
1,0.989533
2,1.02062
3,1.05197
4,1.08354
5,1.11531
6,1.14724
7,1.17932
8,1.21151
9,1.24379
10,1.27612
11,1.30848
12,1.34085
13,1.3732
14,1.4055
15,1.43774
16,1.46988
17,1.50191
18,1.53381
19,1.56555
20,1.59711
21,1.62849
22,1.65965
23,1.69058
24,1.72127
25,1.7517
26,1.78186
27,1.81172
28,1.84129
29,1.87055
30,1.89949
31,1.92809
32,1.95635
33,1.98426
34,2.01181
35,2.03899
36,2.06581
37,2.09224
38,2.11829
39,2.14394
40,2.16921
